Processor;image.ID;sheet name;sheet and slide number;Title;Title.object;Title.workType;Title.workType;Title.workType;Title.imageView;Location.type;Location.country;Location.state-province;Location.city-county;Location.repository;Location.ARTSTOR;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;Date.earliest;Date.latest;Date.display;Date.stylePeriod;Date.stylePeriod.source;Date.stylePeriod;Date.stylePeriod.source;#culturalContext;#culturalContext.source;keyword;Subject.source;keyword;Subject.source;keyword;Subject.source;Source.photographer;source.Contributor;Source.institutionalContributor;Source.date;Source.Displaydate;dateScanned;dateProcessed;Rights
Hillel;1000001;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Belvedere;;Designed Landscapes;;;detail view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Hildebrandt, Johann Lucas von;Austrian;1668-1745;architect;ulan;Johann Lucas von Hildebrandt;Girard, Dominique;French;;landscape architect;ulan;Dominque Girard;;;;;;;1700;;18th century;Baroque;aat;;;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/15/08;© Elizabeth Barlow Rogers
Hillel;1000002;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Belvedere;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Hildebrandt, Johann Lucas von;Austrian;1668-1745;architect;ulan;Johann Lucas von Hildebrandt;Girard, Dominique;French;;landscape architect;ulan;Dominque Girard;;;;;;;1700;;18th century;Baroque;aat;;;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/15/08;© Elizabeth Barlow Rogers
Hillel;1000003;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Belvedere;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Hildebrandt, Johann Lucas von;Austrian;1668-1745;architect;ulan;Johann Lucas von Hildebrandt;Girard, Dominique;French;;landscape architect;ulan;Dominque Girard;;;;;;;1700;;18th century;Baroque;aat;;;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/15/08;© Elizabeth Barlow Rogers
Hillel;1000004;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Belvedere;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Hildebrandt, Johann Lucas von;Austrian;1668-1745;architect;ulan;Johann Lucas von Hildebrandt;Girard, Dominique;French;;landscape architect;ulan;Dominque Girard;;;;;;;1700;;18th century;Baroque;aat;;;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000005;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Belvedere;;Designed Landscapes;Residential Buildings;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Hildebrandt, Johann Lucas von;Austrian;1668-1745;architect;ulan;Johann Lucas von Hildebrandt;Girard, Dominique;French;;landscape architect;ulan;Dominque Girard;;;;;;;1700;;18th century;Baroque;aat;;;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000006;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000007;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000008;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Monuments and memorials;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000009;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Monuments and memorials;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
Hillel;1000010;Week 10-3 (Germany Vienna Schonbrunn and Belvedere);;Schönbrunn;;Designed Landscapes;Residential Buildings;;general view;current site;Austria;Vienna state;Vienna;Foundation for Landscape Studies;7000084;Fischer von Erlach, Johann Bernhard;Austrian;1656-1723;architect;ulan;Johann Bernhard Fischer von Erlach;Jadot, Jean Nicolas, Baron de Ville-Issey;French;1710-1761;architect;ulan;Jean Nicholas Jadot, Baron de Ville-Issey;;;;;;;1688;;18th century;Rococo;aat;Baroque Revival;aat;German;ulan;palaces;aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;;;12/11/07;07/16/08;© Elizabeth Barlow Rogers
